Entrez_Gene_Id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
28921,30.316081618583404,-2.269420754685653,0.3135760378186743,-7.237226321476604,4.579536016646835e-13,6.685893607503546e-09
6357,62.053528108938906,-1.517977364644649,0.20855150425234556,-7.278668979572112,3.371297659132817e-13,6.685893607503546e-09
106480169,41.920449101861024,1.6647715277396347,0.24430894506074094,6.814206198327013,9.478567127113842e-12,9.225489384819903e-08
9244,213.5769342239695,1.3304079553257533,0.19894682202726693,6.687254120316696,2.2739682064035335e-11,1.6599399414694193e-07
79782,15.527694446734836,-1.678619398908467,0.25338779455245636,-6.6247050370887495,3.4794224982724404e-11,2.0319131505411398e-07
28930,88.67108777151581,-2.0093069659416862,0.3069426645062065,-6.546196401774759,5.902095151971004e-11,2.461932519177162e-07
28457,526.0328294700755,-1.9752875260103275,0.3011548715290463,-6.559042249528452,5.415445916351218e-11,2.461932519177162e-07
28424,941.8940473813166,-1.9142461707489866,0.29386236293803936,-6.514090990116363,7.313115933282923e-11,2.6691959016991005e-07
28908,6025.368851727903,-1.843619600311589,0.28608151625526984,-6.444385587870458,1.1606965384395941e-10,3.389117822589771e-07
28883,39.25771018945624,-2.1637949960397647,0.33505204257845117,-6.458086270383264,1.0603529298199744e-10,3.389117822589771e-07
4852,136.74889212166386,1.932775378453447,0.3016815005517898,6.4066751687402395,1.487272158316837e-10,3.697909391046834e-07
26279,117.22706337150912,-1.434998687025735,0.22410018394624429,-6.403380228237355,1.5197408367602318e-10,3.697909391046834e-07
28583,6.982401435696355,-1.1737431036983688,0.18486348324536583,-6.349242603746038,2.1637757301371922e-10,4.860006734175067e-07
28893,59.72045086825823,-1.8360214958365344,0.29527541942032287,-6.217996402954789,5.035431009257214e-10,1.0502110717092956e-06
28878,92.79086625398564,-2.3385419748948713,0.3785890289924105,-6.176993509607886,6.533375793868985e-10,1.1923002487823781e-06
608,36.292888858044854,-1.3347783433658402,0.21596867005222184,-6.180425813814046,6.392893269438585e-10,1.1923002487823781e-06
4283,2285.680850119078,-1.2528423379883342,0.20662339518597786,-6.06340989054349,1.3326545881252397e-09,2.2624012699482144e-06
116,28.24216072685158,1.499162924210457,0.24754624158354777,6.056092448103212,1.39467868279968e-09,2.2624012699482144e-06
28452,1056.553584522347,-1.686722744609844,0.28269226095208366,-5.9666392667740675,2.421900312406846e-09,3.7219509064193424e-06
51237,492.7382634965236,-1.267820255645053,0.21297659295518778,-5.952861946250657,2.6349355584733907e-09,3.846874168593227e-06
441601,3.3836564153927196,2.545064931206797,0.43456414205048943,5.856592122851914,4.724615619601855e-09,6.569240546512122e-06
10234,420.8445714826588,0.9377868188722538,0.16180218309673344,5.795884832478421,6.796189201818366e-09,9.020087659267931e-06
2834,3.0818806087420803,2.1381260787498633,0.37020284222438393,5.775552845307228,7.670082162309507e-09,9.73733604596849e-06
28394,2249.8146934778324,-1.6691489521450757,0.28957522723339696,-5.764128955684962,8.208064000626757e-09,9.986135864762527e-06
285972,16.221993956342526,-0.8367395313630305,0.1459631203739305,-5.7325407213785144,9.893727102808941e-09,1.1216827013776187e-05
973,372.1109320049719,-1.2086298330475338,0.210895795873645,-5.730933744035685,9.987927749518165e-09,1.1216827013776187e-05
959,28.678521958785446,-0.8914831600087376,0.15609930510010211,-5.71100018310174,1.1231412533189074e-08,1.2146148687281027e-05
5798,100.87815335691992,0.8757656856408765,0.15520635142070377,5.642589221539124,1.6751167858358462e-08,1.746847679629317e-05
