"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"5652",444.596749341589,-7.32551075174552,0.705444863287492,-10.3842428132617,2.92480891801402e-25,7.28014187782869e-21
"26012",7619.77664825469,3.92976884155477,0.422329786402933,9.30497674583976,1.34021659261561e-20,9.65677708100774e-17
"79802",115.137926272651,4.75693947571418,0.51109849428622,9.30728524715678,1.31141326314891e-20,9.65677708100774e-17
"91807",233.997829672021,-4.42711629335051,0.476578069037153,-9.28938316925653,1.55185040070833e-20,9.65677708100774e-17
"10761",174.787137538529,4.92035214112712,0.547305853616258,8.99013249833979,2.46932560302801e-19,1.2292796716994e-15
"2623",163.069337367058,-5.89664939761603,0.691877663422979,-8.52267634778536,1.55908007669948e-17,5.54386602701809e-14
"377841",70.0089022600744,4.45250636597804,0.522004412307099,8.52963358355409,1.46811980785126e-17,5.54386602701809e-14
"1428",81.1507436530203,-4.02088014973084,0.509908362891525,-7.88549559558061,3.13289640385385e-15,9.74761554854077e-12
"11001",413.248919985119,-3.77103231801682,0.480776094002141,-7.84363524946818,4.37687234784191e-15,1.21049699566814e-11
"80119",111.779582219379,2.07029617542885,0.268325492031553,7.71561494121996,1.20400298813459e-14,2.99688383776581e-11
"221833",14.1671151656706,5.19102865717252,0.678378730430408,7.65210998564031,1.97708019801724e-14,4.47377301898611e-11
"1763",151.734648905975,1.36457146412244,0.182401132639436,7.48115674709038,7.36712440841258e-14,1.30982209749855e-10
"4499",180.92978834397,3.96600691635351,0.529726623743336,7.4868936892912,7.05227797575315e-14,1.30982209749855e-10
"9951",180.101710305463,-5.65718454262673,0.754183658181107,-7.50107017204586,6.32988905794721e-14,1.30982209749855e-10
"134829",582.321801151875,-7.12125069579981,0.955370182556235,-7.4539176811504,9.06085449815217e-14,1.3266689959618e-10
"5493",1811.52501316012,-2.87199494508687,0.385166687010238,-7.45649881452634,8.88518951320394e-14,1.3266689959618e-10
"84823",2547.87112196936,1.14219645791106,0.152990614265287,7.46579431291444,8.27985998869184e-14,1.3266689959618e-10
"1740",345.231302983153,-2.67634157068911,0.365487377851727,-7.32266483844172,2.43094422474859e-13,3.07612967915186e-10
