"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"100887749",238.231949842046,3.71309225963176,0.229936497257521,16.1483379277245,1.16663002292894e-58,3.34006175564555e-54
"9074",36.8354523571104,-2.85276161177181,0.27784014563817,-10.2676364685144,9.8590457386249e-25,1.41132239748415e-20
"4826",272.056848996277,2.08206959967313,0.209932600764332,9.91780024680606,3.48348635114716e-23,3.32440714111144e-19
"1066",906.797899845044,-2.2134105028582,0.230539289691473,-9.60101206965796,7.91632414442541e-22,5.66610900637249e-18
"146336",51.1227815579849,3.49284195936699,0.380175338913968,9.18745011011197,4.02263519671205e-20,2.30336091363732e-16
"946",86.1862159619975,-2.04080261842393,0.223626871716971,-9.12592750037138,7.11245892126693e-20,3.39382831526454e-16
"1510",3348.45960275374,2.59683932261701,0.289146538137415,8.98104933002129,2.68196559290219e-19,1.09692392749699e-15
"64084",212.330675467819,-1.63988343894596,0.185611501575794,-8.83503136941283,1.00070174317676e-18,3.58126136339384e-15
"339512",105.171313624007,-2.78296034697943,0.328880283005308,-8.46192517699371,2.62999248466859e-17,8.36629831511798e-14
"116842",163.528056840711,1.63191995632374,0.194372742426139,8.39582719240518,4.6262562348568e-17,1.3244971600395e-13
"284233",41.6764501320614,2.36395915703378,0.282665878904246,8.36308636259059,6.10984553490325e-17,1.59022616058436e-13
"114824",201.04810320174,2.97054233177355,0.368302824050919,8.06548887977808,7.29433760708842e-16,1.74030738075785e-12
"23657",1088.77587600895,-1.59384137474675,0.200936131098025,-7.93207954207699,2.15506325757051e-15,4.74611238955721e-12
"105373877",15.4597906974967,1.86341383194893,0.235623218651496,7.90844740434963,2.6061870859038e-15,5.32965259067328e-12
"56165",4.96391301509973,-2.00973024549911,0.254925073412646,-7.88361152002483,3.18052050527261e-15,6.07055347106365e-12
"79727",2.51339874935276,-2.26901591196388,0.290047804094261,-7.82290325916925,5.16187735791817e-15,9.23653429732482e-12
"1956",8874.89780169741,-1.12735332819029,0.145139467528377,-7.76737952390434,8.01264893026667e-15,1.34942434631491e-11
"92369",22.0779916738836,-1.76121481572332,0.228014121044055,-7.72414799425088,1.12603954856411e-14,1.79102845974392e-11
"3960",895.776318553768,2.0462159270031,0.267287257482379,7.65549374211374,1.92570927004858e-14,2.82917570204008e-11
"55600",293.870405340356,2.45773743460033,0.321182345053027,7.65215608035542,1.97637142999656e-14,2.82917570204008e-11
"4747",104.987574013732,-2.59585006318571,0.340802424463664,-7.61687674983803,2.59887267668998e-14,3.38207839698337e-11
"55876",2577.73448405685,0.954308608603391,0.125252883492919,7.61905500289214,2.55539566279586e-14,3.38207839698337e-11
"1823",19.0059518897268,-1.97043145194478,0.259494675889737,-7.59334057698372,3.11761697153201e-14,3.88075538673745e-11
