molecularProfileId	molecularAlterationType	datatype	name	description	studyId
cesc_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	cesc_tcga
chol_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	chol_tcga
brca_tcga_pub2015_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	brca_tcga_pub2015
brca_mbcproject_wagle_2017_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	brca_mbcproject_wagle_2017
coadread_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	coadread_tcga
dlbc_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	dlbc_tcga
esca_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	esca_tcga
gbm_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	gbm_tcga
gbm_tcga_pub2013_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	gbm_tcga_pub2013
kirc_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	kirc_tcga
kich_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	kich_tcga
hnsc_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	hnsc_tcga
kirc_tcga_pub_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	kirc_tcga_pub
kich_tcga_pub_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	kich_tcga_pub
laml_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	laml_tcga
lgg_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	lgg_tcga
lihc_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	lihc_tcga
luad_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	luad_tcga
laml_tcga_pub_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	laml_tcga_pub
lusc_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	lusc_tcga
meso_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	meso_tcga
luad_tcga_pub_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	luad_tcga_pub
mel_tsam_liang_2017_rna_seq_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (FPKM)	Expression levels.	mel_tsam_liang_2017
ov_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	ov_tcga
paad_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	paad_tcga
pcpg_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	pcpg_tcga
prad_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	prad_tcga
prad_tcga_pub_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	prad_tcga_pub
prad_eururol_2017_rna_seq_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (FPKM)	mRNA expression from capture (RNA Seq FPKM).	prad_eururol_2017
prad_msk_mdanderson_2023_mrna_seq_fpkm	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (FPKM)	mRNA expression (RNA Seq FPKM)	prad_msk_mdanderson_2023
sarc_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	sarc_tcga
stad_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	stad_tcga
tgct_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	tgct_tcga
thym_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	thym_tcga
thca_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	thca_tcga
ucec_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	ucec_tcga
ucs_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	ucs_tcga
uvm_tcga_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	uvm_tcga
stad_tcga_pub_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	stad_tcga_pub
thca_tcga_pub_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	thca_tcga_pub
ucec_tcga_pub_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	mRNA gene expression (RNA Seq V2 RSEM)	ucec_tcga_pub
sarc_tcga_pub_rna_seq_v2_mrna	MRNA_EXPRESSION	CONTINUOUS	mRNA expression (RNA Seq V2 RSEM)	Expression levels for 20532 genes in 264 soft_tissue cases (RNA Seq V2 RSEM).	sarc_tcga_pub
