"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"28921",30.3160816185834,2.2694208608353,0.313561855270461,7.23755400310992,4.56848862739305e-13,6.83423056214864e-09
"6357",62.0535281089389,1.51797749155911,0.208548584659297,7.27877148645724,3.36873740774226e-13,6.83423056214864e-09
"106480169",41.920449101861,-1.66477147820759,0.244301573368801,-6.81441161123602,9.46503463275345e-12,9.43947903924501e-08
"9244",213.57693422397,-1.33040773829569,0.19894258062691,-6.68739559979217,2.27177165806185e-11,1.69922840593881e-07
"79782",15.5276944467348,1.67861963563881,0.253381955459653,6.62485863523182,3.47580652165402e-11,2.07985310642734e-07
"28457",526.032829470076,1.97528797615461,0.301139843017825,6.55937107610729,5.40351868596644e-11,2.51799336440878e-07
"28930",88.6710877715158,2.00930731605976,0.306929802418031,6.54647186500036,5.89122415550701e-11,2.51799336440878e-07
"28424",941.894047381317,1.91424665320846,0.293855356948601,6.51424793846205,7.30547435417022e-11,2.73215609003024e-07
"28883",39.2577101894562,2.16379509887841,0.335034437580805,6.4584259292943,1.05797623574083e-10,3.46460212010148e-07
"28908",6025.3688517279,1.84362021033487,0.286065915750588,6.44473916264204,1.1579939570512e-10,3.46460212010148e-07
"26279",117.227063371509,1.43499889323207,0.224096018619843,6.40350016956973,1.51854686679701e-10,3.78611697564166e-07
"4852",136.748892121664,-1.93277483850314,0.301666072514091,-6.40700103394246,1.48409813155756e-10,3.78611697564166e-07
"28583",6.98240143569635,1.17374399616604,0.184871235343887,6.34898119214005,2.16745527719871e-10,4.98831495680832e-07
"28893",59.7204508682582,1.8360219126063,0.295260307480171,6.2183160624447,5.02518562460087e-10,1.07391806216024e-06
"28878",92.7908662539856,2.3385431207692,0.378588988512223,6.17699719677319,6.53322327600467e-10,1.2216719199674e-06
"608",36.2928888580449,1.33477850131474,0.215963441185294,6.18057618451039,6.38680653581257e-10,1.2216719199674e-06
"116",28.2421607268516,-1.49916282087439,0.247537560806167,-6.05630440888243,1.39284312057631e-09,2.31513740691792e-06
"4283",2285.68085011908,1.25284262976131,0.206617523851546,6.06358360320626,1.33121533340906e-09,2.31513740691792e-06
"28452",1056.55358452235,1.68672321211768,0.282686709167834,5.96675810151462,2.42013785969524e-09,3.81095287495905e-06
"51237",492.738263496524,1.26782051104731,0.212970023812714,5.95304676381232,2.63196052389147e-09,3.93728134571544e-06
"441601",3.38365641539272,-2.54506275749793,0.433854669601437,-5.86616426149331,4.45991979836155e-09,6.35411144986568e-06
"10234",420.844571482659,-0.937786657824926,0.16180124793155,-5.79591733570346,6.79487290304999e-09,9.24071829028875e-06
"2834",3.08188060874208,-2.13812611374353,0.36982544380071,-5.78144675977382,7.40609202184312e-09,9.63403770441411e-06
"28394",2249.81469347783,1.66914950469064,0.289559794811346,5.7644380697884,8.19303551260207e-09,1.02136428958976e-05
"285972",16.2219939563425,0.836739185444373,0.145970590289051,5.73224499392282,9.9109974959547e-09,1.14820961419594e-05
"973",372.110932004972,1.20863007933934,0.210889689145404,5.73110086243249,9.97809083495253e-09,1.14820961419594e-05
"959",28.6785219587854,0.891483231883137,0.156099893781124,5.71097910632237,1.12328037653147e-08,1.24471946612759e-05
"5798",100.87815335692,-0.875765601028861,0.155205518598874,-5.64261895411245,1.67482743435778e-08,1.7896129288768e-05
"3645",28.6698217730632,-1.05580268855297,0.187850234506832,-5.62044913771226,1.9046165925992e-08,1.91718941337028e-05
"400500",4.48469597898018,-1.73602293214717,0.308964363236613,-5.61884520907572,1.9223798389354e-08,1.91718941337028e-05
"28825",2259.91947494957,1.5809309957024,0.282693446018741,5.5923864453426,2.23969632544261e-08,2.16159594712637e-05
"57823",558.456805426651,0.967835152453339,0.174030459249894,5.56129746841386,2.67776315540373e-08,2.50362487020388e-05
"1360",81.6506563360286,-1.47771136290059,0.267641283765044,-5.52123851041544,3.36618480544388e-08,2.87751094840215e-05
"286499",68.2650950894391,1.319444485632,0.238752931902867,5.52640118433726,3.2686622235557e-08,2.87751094840215e-05
"28847",7.37284549283516,1.72220627618327,0.311690763909149,5.52536833168807,3.28795081995444e-08,2.87751094840215e-05
"6890",5591.37410201909,0.641817120148761,0.117395251165554,5.46714721231486,4.57336219643627e-08,3.80084509875491e-05
"28896",25.750441303913,1.71034258683216,0.314726533080467,5.4343768543813,5.49882569267618e-08,4.44646934862645e-05
"10690",16.4860990276764,-1.30086751729767,0.240764991896538,-5.40305925313545,6.55138061114021e-08,5.15817780275537e-05
"115409988",29.5858700854264,-1.0938390507049,0.203942730758107,-5.36346182400725,8.16419129559563e-08,5.80622246892905e-05
"28950",12.8319449099684,1.50236659178266,0.279944066108322,5.3666670369835,8.02049217804834e-08,5.80622246892905e-05
"50614",81.7395266399705,-1.06841905765971,0.198834801134955,-5.37340069022698,7.72653680596897e-08,5.80622246892905e-05
"6585",104.308747943334,-1.05099300737372,0.196098700485696,-5.35951031174929,8.34478311988866e-08,5.80622246892905e-05
