"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"246126",969.324021907615,-10.1425154240686,0.257842379573145,-39.3361069691468,0,0
"6192",1762.95390941623,-10.7863685848294,0.26046783510407,-41.4115185489976,0,0
"7404",1549.41459343969,-10.3329056180386,0.200912659021775,-51.4298385594447,0,0
"7503",9816.2821639653,9.29269702201253,0.191727209790647,48.4683265988147,0,0
"8284",2051.12112062519,-10.4454846619983,0.208086761786871,-50.1977375797551,0,0
"8287",2262.65377710862,-10.1945623516587,0.185255208574658,-55.0298284733531,0,0
"8653",1768.16809496984,-9.87797357556661,0.201751902576873,-48.9609934250946,0,0
"7544",552.069082605619,-10.049473278782,0.268741185694915,-37.3946153909974,4.77969344623178e-306,1.94903949503717e-302
"3734",302.422304140492,-8.72600348155804,0.259014043523828,-33.689306428496,8.29085721507808e-249,3.00515937855863e-245
"83869",609.154141994725,-10.3837113370085,0.30827536430451,-33.6832343396459,1.01744465010859e-248,3.31910793758423e-245
"246119",231.823462837642,-7.6539503058547,0.247703532505256,-30.8996413108976,1.20778404335482e-209,3.58184827839283e-206
"64596",73.2894961714227,-5.52767094770488,0.191419414230148,-28.8772743869065,2.30375893782821e-183,6.26276867248598e-180
"9086",283.418212965866,-10.558668197451,0.36830880618923,-28.6679764915156,9.57043480485415e-181,2.40159018618425e-177
"359793",117.566542008662,-10.3319266456259,0.385868706806242,-26.7757567882121,6.19158235580491e-158,1.44272714007906e-154
"5616",235.056279360704,-8.08883278270138,0.310517170986065,-26.0495506802888,1.36120914766617e-149,2.96035765434438e-146
"386729",52.6297483630027,-9.01087810090635,0.366976083214972,-24.5544015347393,3.88128291573262e-133,7.91345070481435e-130
"100873962",113.390837938789,-9.55720432937364,0.403694027574135,-23.6743763260618,6.62296636418029e-124,1.27090828666053e-120
"100419733",41.8471229092248,-8.76030431406726,0.389651068060593,-22.4824337263333,6.16644777321813e-112,1.11756588476623e-108
"22829",1052.61666933417,-8.04147236018354,0.364298919371746,-22.0738298484429,5.64055221812157e-108,9.68453128734536e-105
"9087",34.4391561904696,-8.39913600665096,0.386599067887212,-21.7257016488755,1.17280553598844e-104,1.91296310975074e-101
"286554",42.5464001803329,-8.38187017949759,0.386512446950544,-21.6858997572466,2.78753222126414e-104,4.33023219628946e-101
"100421137",17.6697623126951,-7.51569965918252,0.394873759658082,-19.0331706662157,9.06012985813319e-81,1.34345252832737e-77
"100874056",16.8380467683566,-7.44620073126852,0.39869279510054,-18.6765369797836,7.68457052301474e-78,1.08993938957299e-74
"359796",11.1928616048888,-6.9391098852416,0.398885648610845,-17.3962385195047,8.81016474116231e-68,1.19752164244249e-64
"442479",10.2548412684395,-6.81426261387303,0.414120553084428,-16.4547800468232,7.75029025741421e-61,1.01131987510947e-57
"107987337",5.67097709030936,-5.95483759581565,0.382297674123849,-15.5764421257936,1.05252224237104e-54,1.32059156117801e-51
"100873168",7.38235166385906,-6.33677452416493,0.414827736369172,-15.2756770307316,1.11068481751634e-52,1.34195407840807e-49
"100873963",26.9112743134468,-7.9626996725116,0.529785983331999,-15.0300308483655,4.66788338666698e-51,5.43841756570894e-48
"100128894",7.53947084403709,-6.37087751716172,0.431324368834401,-14.7705021498744,2.27015242090562e-49,2.55368663016494e-46
