Entrez_Gene_Id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
7503,9816.282163965303,9.292697163050942,0.1917265648891978,48.46849036502249,0.0,0.0
8287,2262.65377710862,-10.194563680516746,0.18524688666133063,-55.03230777181429,0.0,0.0
8653,1768.168094969843,-9.877974069926795,0.20175013225360078,-48.96142549988587,0.0,0.0
8284,2051.121120625194,-10.44548774674489,0.20807414798461693,-50.200795475645215,0.0,0.0
6192,1762.953909416233,-10.786366958450726,0.2604816176079369,-41.40932115480714,0.0,0.0
7404,1549.414593439688,-10.332907603284156,0.20090523088672704,-51.43174997324973,0.0,0.0
246126,969.3240219076154,-10.14252006013569,0.25781690374736177,-39.34001189493176,0.0,0.0
7544,552.0690826056191,-10.049474620151283,0.26872485270290625,-37.396893212782466,4.389146212750112e-306,1.828134261938081e-302
3734,302.42230414049203,-8.726004130010917,0.25900799524752094,-33.690095634584225,8.073134861339293e-249,2.9889436301631843e-245
83869,609.154141994725,-10.383716239834383,0.3082551677692405,-33.68545713273369,9.439850356401056e-249,3.145452537256396e-245
246119,231.82346283764218,-7.653951423431992,0.24772812195924512,-30.896578728720907,1.3277877675664546e-209,4.02211056391653e-206
64596,73.28949617142266,-5.527672933269557,0.19140615244657697,-28.87928555385583,2.173619152658886e-183,6.035596982145562e-180
5616,235.05627936070363,-8.08883326914466,0.3105136328900819,-26.0498490641408,1.3506543155707147e-149,3.461934803779368e-146
9086,283.41821296586596,-10.558668972238781,0.4143903429327978,-25.48000732234992,3.2839988985123e-143,7.816151949809168e-140
22829,1052.616669334173,-8.041473261350799,0.3643054363258379,-22.07343744977343,5.689721723931786e-108,1.263914783754207e-104
100873962,113.39083793878933,-9.557205291259251,0.4867263467174211,-19.635685135425557,7.664012501702955e-86,1.596078503557776e-82
359793,117.56654200866178,-10.331927474916558,0.5878488695726866,-17.57582264711497,3.773766423501364e-69,7.396804176322879e-66
286554,42.54640018033287,-8.381870870398256,0.5075332027790538,-16.514921239639893,2.8653480006968116e-61,5.3042367072899145e-58
386729,52.629748363002676,-9.010878568648018,0.546289771356575,-16.49468659512284,4.006330736781335e-61,7.026049814752152e-58
100419733,41.847122909224765,-8.760304943378834,0.5758891648450111,-15.211789834136738,2.9535620168508706e-52,4.920781998174393e-49
9087,34.4391561904696,-8.399136676323828,0.559740056993061,-15.005423627253375,6.76575997279015e-51,1.0735328002540028e-47
938,12.084426541424826,-4.989298703740355,0.3446949600351478,-14.474533376500794,1.7551277754016565e-47,2.6583005729162997e-44
100421137,17.669762312695052,-7.5157000323304235,0.579446830642174,-12.970473967389076,1.799143802683568e-38,2.60649002822692e-35
100874056,16.83804676835658,-7.446201252972677,0.5820746564885365,-12.792519258428364,1.8052553122047795e-37,2.506371344082311e-34
100873963,26.911274313446775,-7.962701060839389,0.6558075253822886,-12.14182630215734,6.33950581613697e-34,8.449546931979999e-31
359796,11.192861604888776,-6.939110439125325,0.5965067243069659,-11.632912348452283,2.803659349801853e-31,3.5931051228749053e-28
442479,10.254841268439543,-6.814263431567273,0.6068634903614238,-11.228659393414766,2.949191935488698e-29,3.639630536385885e-26
9383,176.58160093452463,2.8394272225561177,0.2718564860310142,10.444581492281143,1.5513813360742523e-25,1.8461991964046485e-22
100873168,7.382351663859061,-6.336774596203826,0.607337037425983,-10.433703538088762,1.7397231066188659e-25,1.9989418495050769e-22
100128894,7.539470844037091,-6.370878485383389,0.618787656647198,-10.295742678357508,7.364902913015418e-25,8.180197665486225e-22
107987337,5.670977090309359,-5.9548365693545335,0.5854624992300679,-10.171166517386924,2.6669532398839463e-24,2.8666306098765473e-21
6736,7.142375486841218,-6.290257991004036,0.7459012877623582,-8.433097105750127,3.3663514367319715e-17,3.5053186319795635e-14
352887,4.966800584914871,-5.26398093159662,0.6310625619060231,-8.341456535937755,7.338099966697456e-17,7.409479666373513e-14
106481258,3.2024268444074884,-5.12131872757441,0.6144658942238974,-8.334585817888076,7.776994899663755e-17,7.621683736814587e-14
83259,67.75776703470206,-4.272172024504032,0.5617863268089158,-7.604620868526682,2.857403103871678e-14,2.7203293949745196e-11
643199,2.9304251407287873,-4.999071960770642,0.6673596557128636,-7.490821355436461,6.844392516147592e-14,6.335055639737608e-11
